shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
88178,46.4721,30.74676,69,
88178,46.47222,30.74678,71,
88178,46.472218,30.746777,73,
88178,46.47222,30.74678,78,
88178,46.4721,30.74676,80,
88178,46.4721,30.74674,82,
88178,46.47221,30.74558,84,
88178,46.4723,30.74432,86,
88178,46.47238,30.74292,88,
88178,46.47243,30.74256,90,
88178,46.47245,30.74206,92,
88178,46.47247,30.74193,94,
88178,46.47251,30.74131,96,
88178,46.47253,30.7411,98,
88178,46.47254,30.74073,100,
88178,46.47264,30.74074,102,
88178,46.472610887804,30.740743875503544,104,
88178,46.47264,30.74074,109,
88178,46.47264,30.74074,111,
88178,46.47254,30.74073,113,
88178,46.47255,30.74056,115,
88178,46.47258,30.7403,117,
88178,46.47262,30.73987,119,
88178,46.47266,30.73942,121,
88178,46.47266,30.73925,123,
88178,46.47268,30.73902,125,
88178,46.47277,30.73792,127,
88178,46.47279,30.7376,129,
88178,46.47281,30.73719,131,
88178,46.47283,30.73685,133,
88178,46.47285,30.73668,135,
88178,46.47285,30.73663,137,
88178,46.47295,30.73663,139,
88178,46.47296,30.73663,141,
88178,46.472913834434905,30.736645460128788,143,
88178,46.47296,30.73663,148,
88178,46.47296,30.73663,150,
88178,46.47286,30.73663,152,
88178,46.47286,30.73655,154,
88178,46.47286,30.7364,156,
88178,46.47289,30.73623,158,
88178,46.47291,30.73608,160,
88178,46.47291,30.73599,162,
88178,46.47293,30.73573,164,
88178,46.47295,30.73537,166,
88178,46.47297,30.735,168,
88178,46.47299,30.7349,170,
88178,46.47299,30.7347,172,
88178,46.47304,30.73425,174,
88178,46.47312,30.73316,176,
88178,46.47312,30.73303,178,
88178,46.47314,30.73275,180,
88178,46.47317,30.7323,182,
88178,46.47321,30.73194,184,
88178,46.47323,30.73166,186,
88178,46.47323,30.73146,188,
88178,46.47327,30.73108,190,
88178,46.47329,30.73073,192,
88178,46.47329,30.73065,194,
88178,46.47341,30.73067,196,
88178,46.47341,30.7307,198,
88178,46.4734,30.7307,200,
88178,46.47335347349748,30.730685591697696,202,
88178,46.4734,30.7307,207,
88178,46.4734,30.7307,209,
88178,46.4734,30.73067,211,
88178,46.47328,30.73065,213,
88178,46.47331,30.73039,215,
88178,46.47333,30.73026,217,
88178,46.47333,30.73007,219,
88178,46.47335,30.72985,221,
88178,46.47337,30.7297,223,
88178,46.47337,30.72947,225,
88178,46.47341,30.72902,227,
88178,46.47343,30.72865,229,
88178,46.47346,30.72835,231,
88178,46.47348,30.72827,233,
88178,46.47348,30.72818,235,
